date,symbol,opening_price,closing_price,high_price,low_price,volume,market_cap,pe_ratio,volatility
2020-01-01,TECH_A,99.21390620412895,100.0,100.11728666502759,99.76643682789643,65051.54284358455,100000000.0,17.104986189313557,0.23232058563847985
2020-01-01,HEALTH_B,96.78448055182784,96.60571599190877,97.04474877402227,96.47841537632561,54723.886960971286,96605715.99190877,19.555526286642586,0.1848095541631016
2020-01-01,FINANCE_C,101.9631011579169,102.11484075957445,103.94275373393181,100.20518390400157,64376.41818638012,102114840.75957444,15.79073923795108,0.18084120117329897
2020-01-02,TECH_A,103.13567303515596,102.85105824908203,103.30111036340116,102.46310562977803,56704.51302486045,102851058.24908203,13.891350337286012,0.2331203488962384
2020-01-02,HEALTH_B,93.87718790026086,94.77759460096401,94.82181871418688,93.50161548986529,48459.49275828983,94777594.60096401,11.018995725655197,0.200366702380225
2020-01-02,FINANCE_C,102.30885342297444,102.10507579454182,102.659259982727,101.5474899320158,49232.480318350994,102105075.79454182,12.07877762221285,0.23535261926386386
2020-01-03,TECH_A,103.19535237740185,103.33431228198575,104.34532245225955,102.29856764330279,59025.12105800203,103334312.28198574,18.937266612866882,0.2875503769477984
2020-01-03,HEALTH_B,93.5977897314973,92.94099296007752,93.97321236493778,91.68558496134459,53904.51807053482,92940992.96007752,6.37355380960296,0.22122815525408057
2020-01-03,FINANCE_C,102.569973435282,102.06052258218875,102.30345880395788,101.43130698899276,38282.29921619124,102060522.58218876,19.16712840399164,0.13904138866088445
2020-01-04,TECH_A,99.78018894221698,99.99858225723356,101.3412198483438,99.20693044435103,51449.16690891513,99998582.25723356,18.33347721867908,0.20786698745421572
2020-01-04,HEALTH_B,90.93311223394333,90.43451489736835,91.06312178324283,90.32012943795053,52517.74185717824,90434514.89736834,14.974105796458351,0.2336361813371268
2020-01-04,FINANCE_C,101.65982280550065,101.94436061733147,103.22176380931316,101.33236048021733,52747.75357820427,101944360.61733148,17.25127298800193,0.21398834523049556
2020-01-05,TECH_A,104.3017369636061,103.94098643200893,104.10266540004983,103.39453918497568,52506.15213361153,103940986.43200892,12.336726574921283,0.18595233633718336
2020-01-05,HEALTH_B,91.40386530541407,91.01303149634805,91.71002408413923,90.5080613914743,73956.89479956901,91013031.49634805,8.400342964385306,0.1735883611271857
2020-01-05,FINANCE_C,102.37721947213873,101.50270265820451,103.3468796796395,101.27555321536936,50379.68202587929,101502702.65820451,20.448744067244025,0.22381551054430443
2020-01-06,TECH_A,109.57767508242533,109.02507163319612,109.71191501993809,107.20370772478091,60611.70485627666,109025071.63319612,21.822747957872142,0.268367883295229
